id,new_house_transaction_amount
2020 Aug_sector 1,10356.47
2020 Aug_sector 2,8606.37
2020 Aug_sector 3,0.0
2020 Aug_sector 4,174722.92
2020 Aug_sector 5,0.0
2020 Aug_sector 6,52551.81
2020 Aug_sector 7,6111.92
2020 Aug_sector 8,10842.16
2020 Aug_sector 9,5643.55
2020 Aug_sector 10,1833.6
2020 Aug_sector 11,14277.07
2020 Aug_sector 12,19916.59
2020 Aug_sector 13,29903.25
2020 Aug_sector 14,5277.15
2020 Aug_sector 15,2665.46
2020 Aug_sector 16,21509.87
2020 Aug_sector 17,1334.36
2020 Aug_sector 18,22144.04
2020 Aug_sector 19,0.0
2020 Aug_sector 20,54559.37
2020 Aug_sector 21,10178.03
2020 Aug_sector 22,15221.86
2020 Aug_sector 23,12559.58
2020 Aug_sector 24,13663.51
2020 Aug_sector 25,115785.23
2020 Aug_sector 26,68970.02
2020 Aug_sector 27,7814.68
2020 Aug_sector 28,691.51
2020 Aug_sector 29,286.92
2020 Aug_sector 30,28797.52
2020 Aug_sector 31,86702.64
2020 Aug_sector 32,0.0
2020 Aug_sector 33,11555.72
2020 Aug_sector 34,16872.7
2020 Aug_sector 35,91929.57
2020 Aug_sector 36,29658.22
2020 Aug_sector 37,20805.28
2020 Aug_sector 38,33184.49
2020 Aug_sector 39,822.12
2020 Aug_sector 40,0.0
2020 Aug_sector 41,946.9
2020 Aug_sector 42,23377.75
2020 Aug_sector 43,42385.53
2020 Aug_sector 44,11808.69
2020 Aug_sector 45,129041.39
2020 Aug_sector 46,22195.77
2020 Aug_sector 47,59090.69
2020 Aug_sector 48,1825.03
2020 Aug_sector 49,0.0
2020 Aug_sector 50,31900.83
2020 Aug_sector 51,57260.12
2020 Aug_sector 52,0.0
2020 Aug_sector 53,31162.53
2020 Aug_sector 54,90531.41
2020 Aug_sector 55,279343.07
2020 Aug_sector 56,207.96
2020 Aug_sector 57,124805.51
2020 Aug_sector 58,0.0
2020 Aug_sector 59,10392.78
2020 Aug_sector 60,6764.36
2020 Aug_sector 61,50987.16
2020 Aug_sector 62,16108.39
2020 Aug_sector 63,66938.26
2020 Aug_sector 64,4397.34
2020 Aug_sector 65,14873.0
2020 Aug_sector 66,21510.05
2020 Aug_sector 67,19058.66
