id,new_house_transaction_amount
2023 Aug_sector 1,13424.87
2023 Aug_sector 2,5343.52
2023 Aug_sector 3,28798.89
2023 Aug_sector 4,76274.44
2023 Aug_sector 5,4193.28
2023 Aug_sector 6,12193.34
2023 Aug_sector 7,5639.81
2023 Aug_sector 8,4856.86
2023 Aug_sector 9,14911.7
2023 Aug_sector 10,29882.57
2023 Aug_sector 11,5737.99
2023 Aug_sector 12,467.45
2023 Aug_sector 13,8931.97
2023 Aug_sector 14,20990.58
2023 Aug_sector 15,115903.24
2023 Aug_sector 16,43633.9
2023 Aug_sector 17,3325.89
2023 Aug_sector 18,29888.35
2023 Aug_sector 19,3231.28
2023 Aug_sector 20,9121.83
2023 Aug_sector 21,35715.16
2023 Aug_sector 22,21115.14
2023 Aug_sector 23,19840.93
2023 Aug_sector 24,31881.84
2023 Aug_sector 25,38789.33
2023 Aug_sector 26,17810.54
2023 Aug_sector 27,3660.41
2023 Aug_sector 28,67406.03
2023 Aug_sector 29,23081.63
2023 Aug_sector 30,23506.27
2023 Aug_sector 31,10077.41
2023 Aug_sector 32,45540.86
2023 Aug_sector 33,6502.32
2023 Aug_sector 34,25988.14
2023 Aug_sector 35,11485.25
2023 Aug_sector 36,68515.73
2023 Aug_sector 37,20040.35
2023 Aug_sector 38,144479.39
2023 Aug_sector 39,1201.6
2023 Aug_sector 40,0.0
2023 Aug_sector 41,0.0
2023 Aug_sector 42,8973.25
2023 Aug_sector 43,26057.27
2023 Aug_sector 44,263.84
2023 Aug_sector 45,36568.64
2023 Aug_sector 46,3602.89
2023 Aug_sector 47,23175.58
2023 Aug_sector 48,44295.05
2023 Aug_sector 49,0.0
2023 Aug_sector 50,18689.17
2023 Aug_sector 51,19067.91
2023 Aug_sector 52,0.0
2023 Aug_sector 53,1260.06
2023 Aug_sector 54,38845.55
2023 Aug_sector 55,58093.33
2023 Aug_sector 56,6059.26
2023 Aug_sector 57,25021.59
2023 Aug_sector 58,0.0
2023 Aug_sector 59,7705.22
2023 Aug_sector 60,12365.94
2023 Aug_sector 61,34800.14
2023 Aug_sector 62,13403.95
2023 Aug_sector 63,2963.71
2023 Aug_sector 64,1312.46
2023 Aug_sector 65,12081.33
2023 Aug_sector 66,56671.67
2023 Aug_sector 67,2618.24
2023 Aug_sector 68,11558.41
2023 Aug_sector 69,1858.38
2023 Aug_sector 70,2785.76
2023 Aug_sector 71,10596.1
2023 Aug_sector 72,826.03
2023 Aug_sector 73,0.0
2023 Aug_sector 74,0.0
2023 Aug_sector 75,676.01
2023 Aug_sector 76,15923.7
2023 Aug_sector 77,35678.44
2023 Aug_sector 78,610.51
2023 Aug_sector 79,63229.51
2023 Aug_sector 80,24452.54
2023 Aug_sector 81,50237.03
2023 Aug_sector 82,0.0
2023 Aug_sector 83,29815.38
2023 Aug_sector 84,0.0
2023 Aug_sector 85,109586.76
2023 Aug_sector 86,34000.48
2023 Aug_sector 87,0.0
2023 Aug_sector 88,7430.2
2023 Aug_sector 89,6802.35
2023 Aug_sector 90,282.31
2023 Aug_sector 91,11766.47
2023 Aug_sector 92,36169.39
2023 Aug_sector 93,23338.18
2023 Aug_sector 94,19632.81
2023 Aug_sector 95,0.0
2023 Aug_sector 96,0.0
2023 Sep_sector 1,6073.04
2023 Sep_sector 2,4645.45
2023 Sep_sector 3,25522.9
2023 Sep_sector 4,70787.33
2023 Sep_sector 5,1993.03
2023 Sep_sector 6,15381.94
2023 Sep_sector 7,14512.88
2023 Sep_sector 8,3451.97
2023 Sep_sector 9,10718.16
2023 Sep_sector 10,43178.01
2023 Sep_sector 11,5283.75
2023 Sep_sector 12,0.0
2023 Sep_sector 13,6421.58
2023 Sep_sector 14,11388.37
2023 Sep_sector 15,233111.06
2023 Sep_sector 16,65384.66
2023 Sep_sector 17,4121.35
2023 Sep_sector 18,26632.52
2023 Sep_sector 19,1900.2
2023 Sep_sector 20,13540.82
2023 Sep_sector 21,53192.05
2023 Sep_sector 22,13123.76
2023 Sep_sector 23,20097.17
2023 Sep_sector 24,43025.43
2023 Sep_sector 25,38993.02
2023 Sep_sector 26,8865.93
2023 Sep_sector 27,7099.52
2023 Sep_sector 28,117784.56
2023 Sep_sector 29,31923.96
2023 Sep_sector 30,23175.47
2023 Sep_sector 31,9225.8
2023 Sep_sector 32,63718.94
2023 Sep_sector 33,10737.63
2023 Sep_sector 34,213177.78
2023 Sep_sector 35,7667.77
2023 Sep_sector 36,83452.07
2023 Sep_sector 37,2140.63
2023 Sep_sector 38,62434.54
2023 Sep_sector 39,0.0
2023 Sep_sector 40,0.0
2023 Sep_sector 41,0.0
2023 Sep_sector 42,7857.83
2023 Sep_sector 43,26075.42
2023 Sep_sector 44,2832.63
2023 Sep_sector 45,35887.33
2023 Sep_sector 46,3743.73
2023 Sep_sector 47,24193.14
2023 Sep_sector 48,44930.1
2023 Sep_sector 49,0.0
2023 Sep_sector 50,11937.89
2023 Sep_sector 51,25282.4
2023 Sep_sector 52,0.0
2023 Sep_sector 53,0.0
2023 Sep_sector 54,67128.26
2023 Sep_sector 55,175085.05
2023 Sep_sector 56,6932.31
2023 Sep_sector 57,28472.79
2023 Sep_sector 58,0.0
2023 Sep_sector 59,68799.91
2023 Sep_sector 60,13342.48
2023 Sep_sector 61,75830.22
2023 Sep_sector 62,16008.66
2023 Sep_sector 63,15897.98
2023 Sep_sector 64,5113.76
2023 Sep_sector 65,17501.2
2023 Sep_sector 66,79541.29
2023 Sep_sector 67,2432.29
2023 Sep_sector 68,13223.25
2023 Sep_sector 69,3227.85
2023 Sep_sector 70,4103.88
2023 Sep_sector 71,13868.02
2023 Sep_sector 72,3892.16
2023 Sep_sector 73,0.0
2023 Sep_sector 74,0.0
2023 Sep_sector 75,0.0
2023 Sep_sector 76,34056.45
2023 Sep_sector 77,53562.09
2023 Sep_sector 78,48649.66
2023 Sep_sector 79,78310.36
2023 Sep_sector 80,35431.93
2023 Sep_sector 81,44553.67
2023 Sep_sector 82,0.0
2023 Sep_sector 83,51164.98
2023 Sep_sector 84,609.34
2023 Sep_sector 85,106963.33
2023 Sep_sector 86,46260.3
2023 Sep_sector 87,0.0
2023 Sep_sector 88,6289.23
2023 Sep_sector 89,11926.78
2023 Sep_sector 90,309.22
2023 Sep_sector 91,25720.78
2023 Sep_sector 92,28294.63
2023 Sep_sector 93,19022.88
2023 Sep_sector 94,36695.86
2023 Sep_sector 95,0.0
2023 Sep_sector 96,0.0
2023 Oct_sector 1,13362.85
2023 Oct_sector 2,7521.07
2023 Oct_sector 3,30398.52
2023 Oct_sector 4,64412.87
2023 Oct_sector 5,2487.33
2023 Oct_sector 6,18729.18
2023 Oct_sector 7,17518.22
2023 Oct_sector 8,5813.94
2023 Oct_sector 9,14874.87
2023 Oct_sector 10,56411.04
2023 Oct_sector 11,5959.29
2023 Oct_sector 12,0.0
2023 Oct_sector 13,10537.76
2023 Oct_sector 14,10693.93
2023 Oct_sector 15,148771.08
2023 Oct_sector 16,33853.2
2023 Oct_sector 17,3280.97
2023 Oct_sector 18,28940.66
2023 Oct_sector 19,1781.53
2023 Oct_sector 20,9567.37
2023 Oct_sector 21,36181.44
2023 Oct_sector 22,29911.43
2023 Oct_sector 23,37735.8
2023 Oct_sector 24,75829.03
2023 Oct_sector 25,54739.21
2023 Oct_sector 26,12375.39
2023 Oct_sector 27,6784.97
2023 Oct_sector 28,136939.04
2023 Oct_sector 29,29439.32
2023 Oct_sector 30,52867.67
2023 Oct_sector 31,10628.72
2023 Oct_sector 32,40338.24
2023 Oct_sector 33,0.0
2023 Oct_sector 34,123389.88
2023 Oct_sector 35,6411.58
2023 Oct_sector 36,105643.43
2023 Oct_sector 37,1077.96
2023 Oct_sector 38,48658.12
2023 Oct_sector 39,524.19
2023 Oct_sector 40,0.0
2023 Oct_sector 41,0.0
2023 Oct_sector 42,5924.83
2023 Oct_sector 43,9752.93
2023 Oct_sector 44,0.0
2023 Oct_sector 45,43320.09
2023 Oct_sector 46,9328.58
2023 Oct_sector 47,43734.36
2023 Oct_sector 48,43239.46
2023 Oct_sector 49,0.0
2023 Oct_sector 50,19222.63
2023 Oct_sector 51,29003.53
2023 Oct_sector 52,0.0
2023 Oct_sector 53,0.0
