id,new_house_transaction_amount
2021 Aug_sector 1,50057.77
2021 Aug_sector 2,10051.68
2021 Aug_sector 3,0.0
2021 Aug_sector 4,89343.41
2021 Aug_sector 5,811.7
2021 Aug_sector 6,109581.2
2021 Aug_sector 7,30233.07
2021 Aug_sector 8,6371.4
2021 Aug_sector 9,6775.12
2021 Aug_sector 10,0.0
2021 Aug_sector 11,9219.05
2021 Aug_sector 12,938.82
2021 Aug_sector 13,51198.64
2021 Aug_sector 14,0.0
2021 Aug_sector 15,0.0
2021 Aug_sector 16,4511.36
2021 Aug_sector 17,12909.27
2021 Aug_sector 18,17125.65
2021 Aug_sector 19,0.0
2021 Aug_sector 20,58634.47
2021 Aug_sector 21,4180.12
2021 Aug_sector 22,1117.49
2021 Aug_sector 23,16008.89
2021 Aug_sector 24,12822.03
2021 Aug_sector 25,47284.61
2021 Aug_sector 26,6411.68
2021 Aug_sector 27,8715.09
2021 Aug_sector 28,5392.35
2021 Aug_sector 29,26394.24
2021 Aug_sector 30,51536.82
2021 Aug_sector 31,37455.66
2021 Aug_sector 32,0.0
2021 Aug_sector 33,3996.42
2021 Aug_sector 34,9031.16
2021 Aug_sector 35,46376.33
2021 Aug_sector 36,13180.74
2021 Aug_sector 37,23613.25
2021 Aug_sector 38,28557.01
2021 Aug_sector 39,1119.52
2021 Aug_sector 40,494.47
2021 Aug_sector 41,0.0
2021 Aug_sector 42,126153.08
2021 Aug_sector 43,76178.54
2021 Aug_sector 44,49264.29
2021 Aug_sector 45,28031.3
2021 Aug_sector 46,17592.48
2021 Aug_sector 47,59761.4
2021 Aug_sector 48,20422.6
2021 Aug_sector 49,443.45
2021 Aug_sector 50,19582.43
2021 Aug_sector 51,75244.43
2021 Aug_sector 52,0.0
2021 Aug_sector 53,0.0
2021 Aug_sector 54,59946.09
2021 Aug_sector 55,235874.29
2021 Aug_sector 56,24412.37
2021 Aug_sector 57,29856.08
2021 Aug_sector 58,286.04
2021 Aug_sector 59,32781.44
2021 Aug_sector 60,52637.85
2021 Aug_sector 61,94691.04
2021 Aug_sector 62,11475.58
2021 Aug_sector 63,8253.65
2021 Aug_sector 64,5251.71
2021 Aug_sector 65,42781.29
2021 Aug_sector 66,40397.14
2021 Aug_sector 67,6168.76
2021 Aug_sector 68,23534.78
2021 Aug_sector 69,3533.38
2021 Aug_sector 70,2386.16
2021 Aug_sector 71,4982.93
2021 Aug_sector 72,3139.48
2021 Aug_sector 73,6116.16
2021 Aug_sector 74,0.0
2021 Aug_sector 75,1681.01
2021 Aug_sector 76,29897.64
2021 Aug_sector 77,14731.59
2021 Aug_sector 78,82.4
2021 Aug_sector 79,151968.32
2021 Aug_sector 80,66473.86
2021 Aug_sector 81,6732.13
2021 Aug_sector 82,5897.67
2021 Aug_sector 83,47126.61
2021 Aug_sector 84,6903.12
2021 Aug_sector 85,136454.51
2021 Aug_sector 86,87448.87
2021 Aug_sector 87,0.0
2021 Aug_sector 88,25971.82
2021 Aug_sector 89,0.0
2021 Aug_sector 90,0.0
2021 Aug_sector 91,14030.19
2021 Aug_sector 92,28459.16
2021 Aug_sector 93,24485.64
2021 Aug_sector 94,21529.28
